,model,MKT,SMB,HML,RMW,CMA
2000-01-31,RW-DCC-SKT,0.25846301688470735,0.7415369831150649,5.628775248113088e-18,2.435185042876995e-14,2.0333500644419682e-13
2000-02-29,RW-DCC-SKT,0.04718269884461368,0.21228851584640768,0.0,0.0,0.7405287853089785
2000-03-31,RW-DCC-SKT,0.30619880287907836,0.6938011971209209,3.3862474415586335e-21,6.446007772311683e-16,2.5610274768090505e-22
2000-04-30,RW-DCC-SKT,0.4645882520824889,4.0533294363448654e-16,0.44851166099238127,0.08690008692512939,0.0
2000-05-31,RW-DCC-SKT,5.845006432514199e-16,0.004427337990684717,1.0984019189380598e-15,0.0011361305363682228,0.9944365314729454
2000-06-30,RW-DCC-SKT,2.19506406890179e-18,0.07787445302851834,0.2588344738919485,0.6632910730795332,1.1136895800540642e-17
2000-07-31,RW-DCC-SKT,0.375802132398509,0.624197867601491,4.938761073746194e-17,5.416708381667969e-17,9.629275140075467e-18
2000-08-31,RW-DCC-SKT,0.11472265545789843,0.1996136900465085,0.262766774194816,0.2375877246213868,0.1853091556793901
2000-09-30,RW-DCC-SKT,0.3565467213537572,4.620392755606544e-13,1.1953649239219252e-16,1.3465650468827482e-12,0.643453278644434
2000-10-31,RW-DCC-SKT,0.004843483083778031,0.15914631312341773,2.553101055569834e-17,0.12254240039309418,0.7134678033997099
2000-11-30,RW-DCC-SKT,0.16730733495434885,0.07540895748082707,1.3745342836063913e-16,0.3188189057267183,0.43846480183810566
2000-12-31,RW-DCC-SKT,0.0,0.20022389481269412,0.0,0.012044668368172792,0.7877314368191332
2001-01-31,RW-DCC-SKT,0.2527498176120183,0.28041840537253404,0.06485599321472581,0.026887889559373546,0.37508789424134836
2001-02-28,RW-DCC-SKT,0.13559422322402162,0.8644057767759715,1.2620129628931793e-15,2.353602825048256e-15,3.2288872670484726e-15
2001-03-31,RW-DCC-SKT,8.859385851151942e-15,0.3813475139840138,1.1122822259311293e-17,0.08085472727087105,0.5377977587451063
2001-04-30,RW-DCC-SKT,1.206096838685496e-15,0.5362789530033292,0.15521337459230464,0.23458866702751036,0.0739190053768545
2001-05-31,RW-DCC-SKT,0.7464776494051543,5.802810963402398e-18,0.028970503937630412,3.203704108460003e-17,0.22455184665721534
2001-06-30,RW-DCC-SKT,0.2163327951006524,0.33964034150103467,0.154876158347135,0.16457092501833848,0.12457978003283948
2001-07-31,RW-DCC-SKT,0.07350713958799858,0.37166348540236976,1.3692902624416247e-15,0.554829375009629,1.3181789471971508e-15
2001-08-31,RW-DCC-SKT,0.08593694731004907,0.009966498076704218,0.23057100845480125,0.6735255461584455,1.7719299072958726e-19
2001-09-30,RW-DCC-SKT,1.602127131848938e-13,0.3157329913278504,1.449828179985893e-14,0.12214320814848616,0.5621238005234888
