,model,MKT,SMB,HML,RMW,CMA
2000-01-31,RW-DCC-SKT,0.36665305268993204,0.9333469475907343,4.412140609463822e-15,4.229148144532791e-14,-0.30000000015919376
2000-02-29,RW-DCC-SKT,0.00026554354350431797,0.2398629117361577,0.0027989913377378262,-0.17498163071966744,0.9320541841022679
2000-03-31,RW-DCC-SKT,0.21565487258150987,0.26478393667476635,-0.3000000000027806,0.01902591114573149,0.8005352795961279
2000-04-30,RW-DCC-SKT,0.6282101671360253,-0.049439307749028036,0.6272001604875426,0.04458967238462839,-0.25056069229084615
2000-05-31,RW-DCC-SKT,-0.022229923031694264,-0.045679458384944215,-0.23209061467238912,0.05956382837992375,1.2404361712985383
2000-06-30,RW-DCC-SKT,-0.2999999999999999,0.1315802912913801,0.3329823794524906,0.8354373292561293,3.0138226862461395e-17
2000-07-31,RW-DCC-SKT,0.6028826827543131,0.6971173172456869,-0.29999999999999977,-6.243349448980448e-17,-4.431768207577227e-17
2000-08-31,RW-DCC-SKT,0.1360942990101504,0.21522746726229275,0.20272334929596797,0.22641945516964312,0.2195354292619459
2000-09-30,RW-DCC-SKT,0.36166861365166547,-0.01717458017341495,-0.09026772358789042,-0.14266792111468563,0.8884416112243255
2000-10-31,RW-DCC-SKT,0.011775412593231623,0.202009901216043,-0.033441402873802234,0.1343638560425912,0.6852922330219365
2000-11-30,RW-DCC-SKT,0.14839970178286244,-0.053806892947718545,-0.20247357698835283,0.31738394630031863,0.7904968218528904
2000-12-31,RW-DCC-SKT,-0.17731444785998315,0.5927547602098053,0.20973686636191954,0.022253290041681598,0.35256953124657686
2001-01-31,RW-DCC-SKT,0.30849713247785704,0.2399694335881276,0.15488731976174325,0.14502704257789878,0.1516190715943732
2001-02-28,RW-DCC-SKT,0.13975211051678219,1.019910467152308,0.1403374223308781,4.624787931520411e-15,-0.29999999999997046
2001-03-31,RW-DCC-SKT,-0.1978548103843359,0.7647735973023587,0.1917375633806614,0.16783911957544317,0.07350453012587277
2001-04-30,RW-DCC-SKT,-0.3000000000000004,0.8030040800649842,0.17861185420360515,0.2839281520903331,0.03445591364107654
2001-05-31,RW-DCC-SKT,0.8065172070462455,-0.02204973052256764,0.05539770817417008,-0.2779502694774325,0.4380850847795846
2001-06-30,RW-DCC-SKT,0.22198845898397365,0.34640231183372844,0.1860821877404812,0.14475269238647123,0.10077434905534555
2001-07-31,RW-DCC-SKT,-0.00484973178333551,0.45341078637863175,-0.06363985354557064,0.8465892136214491,-0.2315104146711419
2001-08-31,RW-DCC-SKT,0.1332371837950458,-0.07049084931180077,0.39251427832130054,0.6917093221386694,-0.14696993494321486
2001-09-30,RW-DCC-SKT,0.07715319234696265,0.3241966651006766,-0.30000000035792546,0.19185240101303033,0.7067977414949791
2001-10-31,RW-DCC-SKT,-0.2999999999999969,5.652258507503532e-15,-1.4138881184733896e-15,0.9649542778553309,0.33504572214468586
2001-11-30,RW-DCC-SKT,0.17473296044594416,0.7714099404679778,-0.3000000000018139,0.3538570990881377,-1.0410414450074248e-13
2001-12-31,RW-DCC-SKT,0.43956295596364475,0.09518190032914389,0.7652551437090688,-0.30000000000196786,1.5923509596079463e-13
2002-01-31,RW-DCC-SKT,0.14782706450030164,0.3894162955002959,0.22967402203169665,0.31806518469089556,-0.08498256672318966
2002-02-28,RW-DCC-SKT,0.16574483177547408,0.24110173596115633,-0.00459098452286201,0.46045261860574604,0.13729179818048554
2002-03-31,RW-DCC-SKT,0.2819069754576947,0.18619704308699872,-0.2999999999996931,0.25852564864432986,0.5733703328105766
2002-04-30,RW-DCC-SKT,0.28307513720715993,0.22795893465915892,0.24086029271397688,-0.11855037958103504,0.36665601500073924
2002-05-31,RW-DCC-SKT,-0.009489995608323198,0.4162911625806349,0.08494723868642823,0.2083422064833782,0.2999093878578818
2002-06-30,RW-DCC-SKT,0.2788164782147931,-0.3,5.7738847349352125e-18,0.3456638465905886,0.6755196751946184
2002-07-31,RW-DCC-SKT,-0.2439135848452606,0.6258773839479627,-0.056086415934227675,0.6741226198858545,-3.2294038662765726e-11
2002-08-31,RW-DCC-SKT,0.0,0.0,-0.300000000013097,1.3000000000048397,0.0
