,model,portfolio_return,portfolio_cvar
2000-01-31,RW-DCC-SKT,0.01802842053340337,0.048607898924025804
2000-02-29,RW-DCC-SKT,0.02868920001312051,0.011373110905185582
2000-03-31,RW-DCC-SKT,-0.10162629059131185,0.09015958968497964
2000-04-30,RW-DCC-SKT,0.0042988765058050715,0.040507181350792655
2000-05-31,RW-DCC-SKT,0.014382639593145232,0.022220495037449845
2000-06-30,RW-DCC-SKT,-0.07185282685771865,0.07308683164446803
2000-07-31,RW-DCC-SKT,-0.015332617577678495,0.11230900018817985
2000-08-31,RW-DCC-SKT,-0.002891003334867656,0.03214421271008563
2000-09-30,RW-DCC-SKT,0.014751232797907016,0.019176930676474885
2000-10-31,RW-DCC-SKT,0.032860046404554234,0.017610906402031192
2000-11-30,RW-DCC-SKT,0.05507134433859116,0.036811945646980676
2000-12-31,RW-DCC-SKT,0.04373421735526319,0.007061644306195635
2001-01-31,RW-DCC-SKT,-0.0024872615613776607,0.00397881698171651
2001-02-28,RW-DCC-SKT,0.010127629868147414,0.06551040757614683
2001-03-31,RW-DCC-SKT,0.031082832956373516,0.01742350402889587
2001-04-30,RW-DCC-SKT,-0.022092036666787884,0.04236571026510498
2001-05-31,RW-DCC-SKT,0.010358500591358883,0.0753803018955339
2001-06-30,RW-DCC-SKT,0.016257876199927686,0.01878784183691044
2001-07-31,RW-DCC-SKT,0.026673556847438874,0.02386285778107661
2001-08-31,RW-DCC-SKT,0.0262524744496033,0.04976625041596045
2001-09-30,RW-DCC-SKT,0.005852870069290578,0.025768381425029782
2001-10-31,RW-DCC-SKT,-0.03236179847026758,0.07527773551145052
2001-11-30,RW-DCC-SKT,0.0071491787730259436,0.07838008789720703
2001-12-31,RW-DCC-SKT,0.014434775560221894,0.02965172421586314
2002-01-31,RW-DCC-SKT,0.020859732464155054,0.024412259974151775
2002-02-28,RW-DCC-SKT,0.045638588664282075,0.024697561579312736
2002-03-31,RW-DCC-SKT,0.012751879516401504,0.025884467728814656
2002-04-30,RW-DCC-SKT,0.022562285985198917,0.0165995443434263
2002-05-31,RW-DCC-SKT,0.001809040899467972,0.024270890053178507
2002-06-30,RW-DCC-SKT,0.013612917198572886,0.04737066344009357
2002-07-31,RW-DCC-SKT,-0.005493590288871874,0.034526848753250274
2002-08-31,RW-DCC-SKT,0.0136070034062169,0.06586349842616089
